id,label
00000,11
00001,10
00002,9
00003,3
00004,8
00005,15
00006,1
00007,10
00008,19
00009,10
00010,19
00011,0
00012,4
00013,11
00014,8
00015,9
00016,4
00017,19
00018,1
00019,17
00020,5
00021,14
00022,12
00023,6
00024,14
00025,9
00026,12
00027,5
00028,14
00029,17
00030,11
00031,11
00032,1
00033,11
00034,12
00035,0
00036,4
00037,12
00038,3
00039,9
00040,8
00041,13
00042,1
00043,0
00044,5
00045,13
00046,4
00047,5
00048,3
00049,8
00050,0
00051,6
00052,0
00053,11
00054,14
00055,11
00056,12
00057,2
00058,12
00059,13
00060,8
00061,4
00062,7
00063,4
00064,18
00065,8
00066,16
00067,18
00068,16
00069,12
00070,14
00071,2
00072,0
00073,11
00074,3
00075,0
00076,3
00077,13
00078,17
00079,14
00080,2
00081,0
00082,6
00083,18
00084,11
00085,2
00086,2
00087,14
00088,1
00089,10
00090,16
00091,6
00092,16
00093,15
00094,1
00095,0
00096,1
00097,3
00098,19
00099,9
00100,16
00101,8
00102,12
00103,3
00104,11
00105,3
00106,0
00107,17
00108,10
00109,12
00110,6
00111,11
00112,4
00113,12
00114,19
00115,17
00116,5
00117,14
00118,13
00119,16
00120,13
00121,4
00122,14
00123,1
00124,2
00125,4
00126,11
00127,19
00128,6
00129,6
00130,11
00131,11
00132,2
00133,6
00134,15
00135,14
00136,4
00137,1
00138,14
00139,7
00140,11
00141,6
00142,6
00143,3
00144,0
00145,13
00146,10
00147,6
00148,10
00149,19
00150,3
00151,2
00152,8
00153,16
00154,16
00155,14
00156,11
00157,9
00158,1
00159,1
00160,2
00161,2
00162,4
00163,11
00164,3
00165,1
00166,11
00167,8
00168,14
00169,17
00170,17
00171,7
00172,17
00173,16
00174,5
00175,3
00176,0
00177,16
00178,10
00179,6
00180,10
00181,4
00182,17
00183,17
00184,1
00185,10
00186,3
00187,18
00188,8
00189,5
00190,0
00191,18
00192,6
00193,13
00194,10
00195,10
00196,4
00197,8
00198,9
00199,8
00200,6
00201,4
00202,11
00203,4
00204,13
00205,6
00206,14
00207,14
00208,14
00209,9
00210,9
00211,14
00212,17
00213,8
00214,17
00215,5
00216,1
00217,19
00218,5
00219,13
00220,17
00221,12
00222,17
00223,10
00224,6
00225,12
00226,8
00227,16
00228,16
00229,19
00230,8
00231,17
00232,1
00233,9
00234,2
00235,8
00236,2
00237,18
00238,13
00239,0
00240,14
00241,3
00242,6
00243,3
00244,10
00245,1
00246,14
00247,3
00248,19
00249,14
00250,10
00251,2
00252,14
00253,1
00254,4
00255,5
00256,17
00257,15
00258,3
00259,15
00260,9
00261,3
00262,10
00263,9
00264,16
00265,12
00266,12
00267,0
00268,18
00269,13
00270,7
00271,4
00272,13
00273,14
00274,7
00275,3
00276,4
00277,16
00278,12
00279,6
00280,9
00281,3
00282,10
00283,12
00284,14
00285,11
00286,11
00287,19
00288,3
00289,4
00290,14
00291,3
00292,8
00293,11
00294,18
00295,0
00296,5
00297,12
00298,12
00299,14
00300,8
00301,10
00302,17
00303,17
00304,17
00305,0
00306,18
00307,9
00308,7
00309,3
00310,0
00311,1
00312,8
00313,1
00314,19
00315,11
00316,1
00317,16
00318,5
00319,8
00320,14
00321,14
00322,7
00323,0
00324,9
00325,6
00326,11
00327,18
00328,17
00329,4
00330,18
00331,7
00332,15
00333,8
00334,14
00335,10
00336,8
00337,1
00338,2
00339,15
00340,3
00341,3
00342,18
00343,10
00344,9
00345,2
00346,19
00347,9
00348,0
00349,9
00350,14
00351,16
00352,3
00353,5
00354,6
00355,18
00356,18
00357,11
00358,4
00359,8
00360,6
00361,8
00362,9
00363,0
00364,17
00365,7
00366,3
00367,11
00368,11
00369,3
00370,16
00371,17
00372,6
00373,11
00374,15
00375,2
00376,2
00377,12
00378,19
00379,3
00380,2
00381,17
00382,11
00383,9
00384,7
00385,12
00386,5
00387,10
00388,17
00389,1
00390,1
00391,12
00392,14
00393,12
00394,8
00395,4
00396,19
00397,10
00398,16
00399,18
00400,11
00401,7
00402,13
00403,0
00404,2
00405,8
00406,13
00407,16
00408,13
00409,10
00410,10
00411,10
00412,3
00413,18
00414,14
00415,8
00416,5
00417,9
00418,18
00419,3
00420,12
00421,9
00422,1
00423,16
00424,10
00425,12
00426,0
00427,6
00428,10
00429,13
00430,0
00431,8
00432,4
00433,12
00434,11
00435,1
00436,12
00437,15
00438,8
00439,19
00440,13
00441,1
00442,8
00443,19
00444,7
00445,15
00446,14
00447,14
00448,9
00449,7
00450,7
00451,9
00452,18
00453,6
00454,5
00455,18
00456,0
00457,3
00458,12
00459,4
00460,10
00461,4
00462,4
00463,18
00464,13
00465,17
00466,19
00467,6
00468,13
00469,7
00470,8
00471,17
00472,13
00473,6
00474,5
00475,0
00476,0
00477,3
00478,1
00479,19
00480,9
00481,11
00482,6
00483,14
00484,2
00485,11
00486,18
00487,11
00488,12
00489,9
00490,1
00491,4
00492,17
00493,11
00494,3
00495,4
00496,12
00497,6
00498,4
00499,5
00500,19
00501,18
00502,18
00503,12
00504,3
00505,9
00506,18
00507,3
00508,0
00509,0
00510,15
00511,11
00512,19
00513,11
00514,12
00515,14
00516,1
00517,14
00518,6
00519,0
00520,0
00521,11
00522,18
00523,6
00524,14
00525,15
00526,3
00527,4
00528,9
00529,7
00530,2
00531,11
00532,1
00533,18
00534,7
00535,7
00536,10
00537,18
00538,8
00539,18
00540,18
